,Date,Market,Branch,Product,Return,Payment,Product and Return
85,2023-03-03,номин,Седар,895810.23,86578.47,"809,231.76",982388.7
86,2023-03-02,номин,УИД,1030105.49,,"1,030,105.49",1030105.49
87,2023-03-04,номин,ривер,788378.92,14219.21,"774,159.71",802598.13
88,2023-03-04,номин,их монгол,575090.77,85315.26,"489,775.51",660406.03
89,2023-03-06,номин,32,469233.93,142192.1,"327,041.83",611426.03
90,2023-03-06,номин,11,475556.3,28438.42,"447,117.88",503994.72
91,2023-03-06,номин,зунжин,965331.81,113753.68,"851,578.13",1079085.49
92,2023-03-08,,,227507.36,42657.63,"184,849.73",270164.99
93,2023-03-10,номин,зүүн 4 зам,518213.93,71096.05,"447,117.88",589309.98
94,2023-03-10,номин,УИД,810494.97,14219.21,"796,275.76",824714.18
95,2023-03-11,номин,наадам,824714.18,14219.21,"810,494.97",838933.39
96,2023-03-11,номин,зайсан,554549.19,28438.42,"526,110.77",582987.61
97,2023-03-13,номин,УИД,142192.1,,"142,192.10",142192.1
98,2023-03-13,номин,10,654083.66,,"654,083.66",654083.66
99,2023-03-13,номин,Өргөө,469233.93,113753.68,"355,480.25",582987.61
100,2023-03-13,номин,нарны хороолол,241726.57,85315.26,"156,411.31",327041.83
101,2023-03-13,номин,москва,142192.1,99534.47,"42,657.63",241726.57
102,2023-03-13,номин,өнөр,298603.41,85315.26,"213,288.15",383918.67
103,2023-03-17,номин,Андууд,455014.72,71096.05,"383,918.67",526110.77
104,2023-03-18,номин,19,554549.19,,"331,200.00",554549.19
105,2023-03-18,номин,наадам,440795.51,56876.84,"383,918.67",497672.35
106,2023-03-18,номин,РивэрГардэн,489775.51,,"489,775.51",489775.51
107,2023-03-18,номин,их монгол,639864.45,14219.21,"625,645.24",654083.66
108,2023-03-20,номин,УИД,810494.97,14219.21,"796,275.76",824714.18
109,2023-03-20,номин,11,426576.3,,"426,576.30",426576.3
110,2023-03-20,номин,Яармаг,284384.2,85315.26,"199,068.94",369699.46
111,2023-03-20,номин,Седар,455014.72,65881.26,"389,133.46",520895.98
112,2023-03-22,номин,зүүн 4 зам,540329.98,56876.84,"483,453.14",597206.82
113,2023-03-22,номин,юнайтед,369699.46,184849.73,"184,849.73",554549.19
114,2023-03-24,номин,Билэг,426576.3,14219.21,,440795.51
115,2023-03-24,номин,Өргөө,184849.73,,,184849.73
116,2023-03-24,номин,32,227507.36,,,227507.36
117,2023-03-24,номин,зунжин,,42657.63,,42657.63
118,2023-03-25,номин,наадам,213288.15,,,213288.15
119,2023-03-25,номин,РивэрГардэн,455014.72,,,455014.72
120,2023-03-25,номин,зайсан,526110.77,,,526110.77
121,2023-03-25,номин,их монгол,483453.14,,,483453.14
122,2023-03-27,номин,УИД,682522.08,14219.21,,696741.29
123,2023-03-27,номин,10 ХАС,412357.09,14219.21,,426576.3
124,2023-03-27,номин,москва,412357.09,127972.89,,540329.98
125,2023-03-27,авлага,суутгав,,7584,,7584
126,2023-03-27,авлага,суутгав-Хөвсгөл,7584,,,7584
127,2023-03-27,номин,дархан,639864.45,,,639864.45
128,2023-03-31,номин,зүүн 4 зам,327041.83,,,327041.83
129,2023-04-03,номин,УИД,298603.41,15482.42,"283,120.99",314085.83
130,2023-04-03,номин,Седар,341261.04,,"341,261.04",341261.04
131,2023-04-07,номин,УИД,625645.24,14219.21,"611,426.03",639864.45
132,2023-04-07,номин,Өргөө,526110.77,,"526,110.77",526110.77
133,2023-04-08,номин,наадам,625645.24,14219.21,"611,426.03",639864.45
134,2023-04-08,номин,РивэрГардэн,398137.88,,"398,137.88",398137.88
135,2023-04-08,номин,их монгол,540329.98,14219.21,"526,110.77",554549.19
136,2023-04-10,номин,УИД,426576.3,,"426,576.30",426576.3
137,2023-04-10,номин,32,327041.83,14219.21,"312,822.62",341261.04
138,2023-04-10,номин,11,383918.67,,"383,918.67",383918.67
139,2023-04-10,номин,зунжин,526110.77,14219.21,"511,891.56",540329.98
140,2023-04-12,номин,өнөр,71096.05,,"71,096.05",71096.05
141,2023-04-12,номин,москва,85315.26,14219.21,"71,096.05",99534.47
142,2023-04-12,номин,замын үүд,568768.4,,"568,768.40",568768.4
143,2023-04-13,номин,зүүн 4 зам,412357.09,14219.21,"398,137.88",426576.3
144,2023-04-13,номин,Өргөө,184849.73,,"184,849.73",184849.73
145,2023-04-14,номин,наадам,483453.14,,"483,453.14",483453.14
146,2023-04-14,номин,РивэрГардэн,383918.67,,"383,918.67",383918.67
147,2023-04-14,номин,их монгол,213288.15,,"213,288.15",213288.15
148,2023-04-14,номин,нарны гүүр,568768.4,,"568,768.40",568768.4
149,2023-04-17,номин,УИД,625645.24,,"625,645.24",625645.24
150,2023-04-17,номин,Нисэх,625645.24,,-,625645.24
151,2023-04-17,номин,Яармаг,341261.04,,"341,261.04",341261.04
152,2023-04-17,номин,Седар,284384.2,,"284,384.20",284384.2
153,2023-04-19,номин,Юнаитэд,341261.04,,"341,261.04",341261.04
154,2023-04-19,номин,зайсан,568768.4,28438.42,"540,329.98",597206.82
155,2023-04-20,номин,дархан,910029.44,,"910,029.44",910029.44
156,2023-04-21,номин,УИД,1038002.33,28438.42,"1,009,563.91",1066440.75
157,2023-04-21,номин,10 ХАС,554549.19,56876.84,"497,672.35",611426.03
158,2023-04-21,номин,Хөвсгөл,639864.45,,"639,864.45",639864.45
159,2023-04-24,номин,гарден,895810.23,,"895,810.23",895810.23
160,2023-04-28,номин,нарны хороолол,341261.04,14219.21,,355480.25
161,2023-04-28,номин,их монгол,654083.66,63199.21,,717282.87
162,2023-04-28,номин,зүүн 4 зам,568768.4,77418.42,,646186.82
163,2023-04-28,номин,УИД,511891.56,,,511891.56
164,2023-04-28,номин,Билэг,355480.25,,,355480.25
165,2023-04-28,номин,Өргөө,582987.61,14219.21,,597206.82
166,2023-04-29,номин,19,554549.19,,,554549.19
167,2023-04-29,номин,наадам,824714.18,28438.42,,853152.6
168,2023-04-29,номин,зайсан,426576.3,,,426576.3
169,2023-04-29,номин,Яармаг,597206.82,113753.68,,710960.5
170,2023-04-29,номин,Седар,511891.56,28438.42,,540329.98
171,2023-01-04,emart,Хануул,582400,,"582,400.00",582400
172,2023-01-05,emart,хороолол,144000,,"144,000.00",144000
173,2023-01-11,e,mart Чингис,510400,,"510,400.00",510400
174,2023-01-11,e,mart Хан Уул,936000,,"936,000.00",936000
175,2023-01-11,e,mart-Олип Хороолол,366400,,"366,400.00",366400
176,2023-01-19,e,mart Хан Уул,1374400,,"1,374,400.00",1374400
177,2023-01-23,e,mart Хан Уул,1380800,,"1,380,800.00",1380800
178,2023-02-01,e,mart Хан Уул,576000,,"576,000.00",576000
179,2023-02-01,e,mart-Олип Хороолол,288000,132160,"155,840.00",420160
180,2023-02-02,e,mart Чингис,144000,,"144,000.00",144000
181,2023-02-08,e,mart Хан Уул,936000,,"936,000.00",936000
182,2023-02-09,e,mart Чингис,288000,,"288,000.00",288000
183,2023-02-15,e,mart Хан Уул,864000,,"864,000.00",864000
184,2023-02-16,e,mart Чингис,144000,,"144,000.00",144000
185,2023-03-02,e,mart Чингис,288000,,"288,000.00",288000
186,2023-03-02,e,mart Хан Уул,360000,,"360,000.00",360000
187,2023-03-08,,,1014400,,"1,014,400.00",1014400
188,2023-03-08,,,504000,,"504,000.00",504000
189,2023-03-16,e,mart Чингис,288000,204160,"83,840.00",492160
190,2023-03-16,e,mart Хан Уул,576000,,"576,000.00",576000
191,2023-03-22,,,942400,,"942,400.00",942400
192,2023-03-22,,,504000,,"504,000.00",504000
193,2023-03-22,,,144000,,"144,000.00",144000
194,2023-03-30,e,mart Чингис,1045840,,"1,045,840.00",1045840
195,2023-03-30,e,mart Хан Уул,1602080,160960,"1,441,120.00",1763040
196,2023-03-30,e,mart-Олип Хороолол,1168240,302240,"866,000.00",1470480
197,2023-04-07,e,mart Чингис,1045840,,"1,045,840.00",1045840
198,2023-04-07,e,mart Хан Уул,1224000,,"1,224,000.00",1224000
199,2023-04-07,e,mart-Олип Хороолол,311440,,"311,440.00",311440
200,2023-04-19,e,mart Хан Уул,792000,,"792,000.00",792000
201,2023-04-20,e,mart Чингис,,441728,"-441,728.00",441728
202,2023-04-26,e,mart Чингис,543200,,"543,200.00",543200
203,2023-04-26,e,mart Хан Уул,615200,,"615,200.00",615200
204,2023-04-26,e,mart-Олип Хороолол,288000,,"288,000.00",288000
205,2023-01-04,сансар,38,388800,14400,"374,400.00",403200
206,2023-01-04,сансар,бз товчоо,187200,,"187,200.00",187200
207,2023-01-05,сансар,26,316800,28800,"288,000.00",345600
208,2023-01-06,сансар,25,172800,14400,"158,400.00",187200
209,2023-01-09,сансар,наадам,230400,28800,"201,600.00",259200
210,2023-01-09,сансар,туннел,302400,,"302,400.00",302400
211,2023-01-09,сансар,Модны-2,216000,14400,"201,600.00",230400
212,2023-01-11,сансар,21,345600,43200,"302,400.00",388800
213,2023-01-11,сансар,5шар,,100800,"-100,800.00",100800
214,2023-01-11,сансар,42 Толгойт,273600,72000,"201,600.00",345600
215,2023-01-12,сансар,16,86400,28800,"57,600.00",115200
216,2023-01-13,сансар,32,,28800,"-28,800.00",28800
217,2023-01-13,сансар,13,374400,43200,"331,200.00",417600
218,2023-01-13,сансар,олимп,187200,28800,"158,400.00",216000
219,2023-01-16,сансар,38,259200,14400,"244,800.00",273600
220,2023-01-16,сансар,25,201600,14400,"187,200.00",216000
221,2023-01-18,сансар,бз товчоо,475200,,"475,200.00",475200
222,2023-01-23,сансар,32,216000,43200,"172,800.00",259200
223,2023-01-23,сансар,26,316800,28800,"288,000.00",345600
224,2023-01-26,сансар,13,187200,129600,"57,600.00",316800
225,2023-01-26,сансар,34 Яармаг,504000,57600,"446,400.00",561600
226,2023-01-26,сансар,8 Чулуун-Овоо,259200,187200,"72,000.00",446400
227,2023-01-30,сансар,1 түннэл,331200,43200,"288,000.00",374400
228,2023-01-30,сансар,13,777600,28800,"748,800.00",806400
229,2023-01-30,сансар,21 Содон хор,273600,14400,"259,200.00",288000
230,2023-01-30,сансар,25 УБ Их Сургууль,144000,72000,"72,000.00",216000
231,2023-02-01,сансар,26 Олимп хор,129600,,"129,600.00",129600
232,2023-02-02,сансар,Модны-2,273600,28800,"244,800.00",302400
233,2023-02-08,сансар,олимп,316800,,"316,800.00",316800
234,2023-02-09,сансар,38,561600,,"561,600.00",561600
235,2023-02-10,сансар,туннел,331200,86400,"244,800.00",417600
236,2023-02-11,сансар,34,720000,,"720,000.00",720000
237,2023-02-13,сансар,15,331200,158400,"172,800.00",489600
238,2023-02-15,сансар,26,129600,144000,"-14,400.00",273600
239,2023-02-15,сансар,8 Чулуун-Овоо,201600,14400,"187,200.00",216000
240,2023-02-15,сансар,42 Толгойт,144000,86400,"57,600.00",230400
241,2023-02-16,сансар,13,1036800,28800,"1,008,000.00",1065600
242,2023-02-16,сансар,25,259200,28800,"230,400.00",288000
243,2023-03-02,сансар,26,216000,57600,"158,400.00",273600
244,2023-03-03,сансар,34,950400,86400,"864,000.00",1036800
245,2023-03-03,сансар,38,302400,,"302,400.00",302400
246,2023-03-06,сансар,32,360000,72000,"288,000.00",432000
247,2023-03-08,сансар,туннел,230400,14400,"216,000.00",244800
248,2023-03-10,сансар,25,288000,,"288,000.00",288000
249,2023-03-10,сансар,бз товчоо,360000,72000,"288,000.00",432000
250,2023-03-11,сансар,15,403200,,"403,200.00",403200
251,2023-03-13,сансар,21,489600,115200,"374,400.00",604800
252,2023-03-13,сансар,6  /5шар/,432000,216000,"216,000.00",648000
253,2023-03-13,сансар,42 Толгойт,259200,43200,"216,000.00",302400
254,2023-03-16,сансар,13,1022400,14400,"1,008,000.00",1036800
255,2023-03-16,сансар,26,302400,43200,"259,200.00",345600
256,2023-03-16,сансар,16 Шархад,316800,129600,"187,200.00",446400
257,2023-03-17,сансар,Модны-2,360000,28800,"331,200.00",388800
258,2023-03-20,сансар,34,691200,100800,"590,400.00",792000
259,2023-03-23,,,244800,14400,"230,400.00",259200
260,2023-03-24,сансар,32,288000,43200,"244,800.00",331200
261,2023-03-24,сансар,26 Олимп хор,302400,57600,"244,800.00",360000
262,2023-03-24,сансар,25 УБ Их Сургууль,259200,,"259,200.00",259200
263,2023-03-24,сансар,BZ Товчоо,446400,14400,"432,000.00",460800
264,2023-03-27,сансар,21,388800,57600,"331,200.00",446400
265,2023-03-30,сансар,Өвөрхангай,,72000,"-72,000.00",72000
266,2023-03-31,сансар,1 түннэл,446400,14400,"432,000.00",460800
267,2023-03-31,сансар,13,576000,57600,"518,400.00",633600
